timestamp_utc,stress,flow_stress,buffer_stress
2026-09-04T00:32:07.261837+00:00,69.8,81.1,69.2
2026-09-04T01:29:56.511995+00:00,69.8,81.1,69.2
2026-09-04T02:31:49.681962+00:00,69.7,81.1,69.2
2026-09-04T03:31:50.435550+00:00,69.7,81.1,69.2
2026-09-04T04:32:08.638653+00:00,69.8,81.1,69.2
2026-09-04T05:31:20.762779+00:00,69.8,81.1,69.2
2026-09-04T06:36:56.492408+00:00,69.8,81.1,69.2
2026-09-04T07:31:57.432854+00:00,69.8,81.1,69.2
2026-09-04T08:33:40.859847+00:00,69.9,81.1,69.2
2026-09-04T09:32:31.489203+00:00,69.9,81.1,69.2
2026-09-04T10:32:20.880520+00:00,69.9,81.1,69.2
2026-09-04T11:31:35.566162+00:00,69.9,81.1,69.2
2026-09-04T12:37:45.315316+00:00,70.3,81.1,70.8
2026-09-04T13:32:22.268578+00:00,70.6,81.1,70.8
2026-09-04T14:31:55.753234+00:00,70.6,81.1,70.8
2026-09-04T15:32:01.017405+00:00,70.4,81.1,70.8
2026-09-04T16:31:52.458002+00:00,70.4,81.1,70.8
2026-09-04T17:29:11.385911+00:00,70.5,81.1,70.8
2026-09-04T18:32:37.837929+00:00,70.6,81.1,71.0
2026-09-04T19:27:22.933751+00:00,70.6,81.1,71.0
2026-09-04T20:31:25.145524+00:00,70.5,81.1,71.0
2026-09-04T21:30:10.809642+00:00,70.5,81.1,71.0
2026-09-04T22:29:41.003873+00:00,70.5,81.1,71.0
2026-09-04T23:28:03.184150+00:00,70.5,81.1,71.0
2026-09-05T00:39:40.087679+00:00,70.5,81.1,71.0
2026-09-05T01:29:26.931533+00:00,70.5,81.1,71.0
2026-09-05T02:31:29.304095+00:00,70.5,81.1,71.0
2026-09-05T03:31:13.525877+00:00,70.5,81.1,71.0
2026-09-05T04:30:53.322056+00:00,70.5,81.1,71.0
2026-09-05T05:30:12.378113+00:00,70.5,81.1,71.0
2026-09-05T06:34:28.375151+00:00,70.5,81.1,71.0
2026-09-05T07:29:32.359978+00:00,70.5,81.1,71.0
2026-09-05T08:30:55.482905+00:00,70.5,81.1,71.0
2026-09-05T09:30:00.475439+00:00,70.5,81.1,71.0
2026-09-05T10:29:38.640717+00:00,70.5,81.1,71.0
2026-09-05T11:28:59.734233+00:00,70.5,81.1,71.0
2026-09-05T12:34:22.623175+00:00,70.5,81.1,71.0
2026-09-05T13:29:06.021112+00:00,70.5,81.1,71.0
2026-09-05T14:29:56.218203+00:00,70.5,81.1,71.0
2026-09-05T15:30:07.493609+00:00,70.5,81.1,71.0
2026-09-05T16:31:03.843918+00:00,70.5,81.1,71.0
2026-09-05T17:28:31.036137+00:00,70.5,81.1,71.0
2026-09-05T18:33:28.961806+00:00,70.5,81.1,71.0
2026-09-05T19:28:07.035310+00:00,70.5,81.1,71.0
2026-09-05T20:30:25.609799+00:00,70.5,81.1,71.0
2026-09-05T21:28:55.690361+00:00,70.5,81.1,71.0
2026-09-05T22:29:34.493015+00:00,70.5,81.1,71.0
2026-09-05T23:28:23.845771+00:00,70.5,81.1,71.0
2026-09-06T00:43:00.879917+00:00,70.5,81.1,71.0
2026-09-06T01:30:08.045080+00:00,70.5,81.1,71.0
2026-09-06T02:31:13.258691+00:00,70.5,81.1,71.0
2026-09-06T03:31:59.348731+00:00,70.5,81.1,71.0
2026-09-06T04:31:54.351733+00:00,70.5,81.1,71.0
2026-09-06T05:30:20.009712+00:00,70.5,81.1,71.0
2026-09-06T06:35:29.018796+00:00,70.5,81.1,71.0
2026-09-06T07:30:46.529447+00:00,70.5,81.1,71.0
2026-09-06T08:32:54.904120+00:00,70.5,81.1,71.0
2026-09-06T09:31:17.409400+00:00,70.5,81.1,71.0
2026-09-06T10:31:02.788079+00:00,70.5,81.1,71.0
2026-09-06T11:29:39.123046+00:00,70.5,81.1,71.0
2026-09-06T12:35:35.501832+00:00,70.5,81.1,71.0
2026-09-06T13:29:51.470357+00:00,70.5,81.1,71.0
2026-09-06T14:30:12.343551+00:00,70.5,81.1,71.0
2026-09-06T15:30:20.405020+00:00,70.5,81.1,71.0
2026-09-06T16:31:37.702335+00:00,70.5,81.1,71.0
2026-09-06T17:29:17.088854+00:00,70.5,81.1,71.0
2026-09-06T18:32:48.121998+00:00,70.5,81.1,71.0
2026-09-06T19:28:41.026285+00:00,70.5,81.1,71.0
2026-09-06T20:31:07.445394+00:00,70.5,81.1,71.0
2026-09-06T21:29:18.795617+00:00,70.5,81.1,71.0
2026-09-06T22:29:57.758681+00:00,70.5,81.1,71.0
2026-09-06T23:29:15.889221+00:00,70.5,81.1,71.0
2026-09-07T00:43:06.018625+00:00,70.3,81.1,71.0
2026-09-07T01:31:35.528347+00:00,70.5,81.1,71.0
2026-09-07T02:32:28.983805+00:00,70.6,81.1,71.0
2026-09-07T03:33:45.761914+00:00,70.5,81.1,71.0
2026-09-07T04:33:44.786705+00:00,70.6,81.1,71.0
2026-09-07T05:32:32.615993+00:00,70.5,81.1,71.0
2026-09-07T06:41:26.115111+00:00,70.3,81.1,71.0
2026-09-07T07:34:23.658442+00:00,70.4,81.1,71.0
2026-09-07T08:35:30.037506+00:00,69.7,81.1,71.0
2026-09-07T09:35:06.279370+00:00,69.9,81.1,71.0
2026-09-07T10:33:19.622047+00:00,69.9,81.1,71.0
2026-09-07T11:33:47.865281+00:00,70.0,81.1,71.0
2026-09-07T12:39:32.621460+00:00,69.9,81.1,71.0
2026-09-07T13:34:26.598490+00:00,69.8,81.1,71.0
2026-09-07T14:33:25.391970+00:00,69.7,81.1,71.0
2026-09-07T15:32:59.273982+00:00,69.7,81.1,71.0
2026-09-07T16:33:16.837015+00:00,69.7,81.1,71.0
2026-09-07T17:30:58.319127+00:00,69.7,81.1,71.0
2026-09-07T18:36:13.733207+00:00,69.8,81.1,71.0
2026-09-07T19:30:25.560136+00:00,69.9,81.1,71.0
2026-09-07T20:33:00.183908+00:00,70.6,81.1,71.0
2026-09-07T21:31:50.089792+00:00,70.6,81.1,71.0
2026-09-07T22:31:04.032085+00:00,70.6,81.1,71.0
2026-09-07T23:29:57.627333+00:00,70.6,81.1,71.0
2026-09-08T00:42:35.459622+00:00,70.6,81.1,71.0
2026-09-08T01:31:54.112818+00:00,70.6,81.1,71.0
2026-09-08T02:33:23.821643+00:00,70.7,81.1,71.0
2026-09-08T03:33:43.952389+00:00,70.7,81.1,71.0
2026-09-08T04:33:46.693923+00:00,69.6,81.1,71.0
2026-09-08T05:33:42.510374+00:00,69.6,81.1,71.0
2026-09-08T06:38:27.265276+00:00,69.7,81.1,71.0
2026-09-08T07:34:01.314817+00:00,70.0,81.1,71.0
2026-09-08T08:34:58.886440+00:00,70.1,81.1,71.0
2026-09-08T09:33:48.525803+00:00,70.2,81.1,71.0
2026-09-08T10:33:43.765800+00:00,70.1,81.1,71.0
2026-09-08T11:32:57.513816+00:00,70.2,81.1,71.0
2026-09-08T12:39:50.646562+00:00,69.5,81.1,69.4
2026-09-08T13:34:57.932267+00:00,69.2,81.1,69.4
2026-09-08T14:35:19.411834+00:00,69.2,81.1,69.4
2026-09-08T15:35:19.980540+00:00,69.2,81.1,69.4
2026-09-08T16:35:35.434862+00:00,69.4,81.1,69.4
2026-09-08T17:31:57.478025+00:00,69.3,81.1,69.4
2026-09-08T18:36:49.251633+00:00,69.8,82.4,69.7
2026-09-08T19:30:45.519870+00:00,69.8,82.4,69.7
2026-09-08T20:32:43.219287+00:00,69.8,82.4,69.7
2026-09-08T21:30:03.666520+00:00,69.9,82.4,69.7
2026-09-08T22:31:27.820252+00:00,69.8,82.4,69.7
2026-09-08T23:30:25.002814+00:00,69.8,82.4,69.7
2026-09-09T00:42:09.761267+00:00,69.5,82.4,69.7
2026-09-09T01:33:17.288032+00:00,69.7,82.4,69.7
2026-09-09T02:32:57.944241+00:00,69.6,82.4,69.7
2026-09-09T03:33:30.029684+00:00,69.5,82.4,69.7
2026-09-09T04:33:10.531627+00:00,69.4,82.4,69.7
2026-09-09T05:32:23.351143+00:00,69.3,82.4,69.7
2026-09-09T06:39:04.114621+00:00,69.2,82.4,69.7
2026-09-09T07:33:35.540420+00:00,69.3,82.4,69.7
2026-09-09T08:33:34.815579+00:00,69.3,82.4,69.7
2026-09-09T09:34:10.980892+00:00,69.4,82.4,69.7
2026-09-09T10:34:00.322906+00:00,69.6,82.4,69.7
2026-09-09T11:33:09.751584+00:00,69.3,82.4,69.7
2026-09-09T12:39:26.949206+00:00,68.5,82.4,67.6
2026-09-09T13:34:52.007580+00:00,68.5,82.4,67.6
2026-09-09T14:35:03.584093+00:00,68.5,82.4,67.6
2026-09-09T15:34:43.155615+00:00,69.2,82.4,67.6
2026-09-09T16:34:52.859343+00:00,69.0,82.4,67.6
2026-09-09T17:32:40.089173+00:00,68.7,82.4,67.6
2026-09-09T18:36:39.830057+00:00,68.6,80.9,68.8
2026-09-09T19:30:23.125213+00:00,69.0,80.9,68.8
2026-09-09T20:33:20.254231+00:00,69.1,80.9,68.8
2026-09-09T21:31:23.151971+00:00,68.8,80.9,68.8
2026-09-09T22:31:23.794892+00:00,68.9,80.9,68.8
2026-09-09T23:30:18.643766+00:00,68.9,80.9,68.8
2026-09-10T00:38:44.027014+00:00,69.0,80.9,68.8
2026-09-10T01:31:06.655890+00:00,68.9,80.9,68.8
2026-09-10T02:33:02.969948+00:00,68.9,80.9,68.8
2026-09-10T03:33:36.284857+00:00,68.8,80.9,68.8
2026-09-10T04:33:26.785998+00:00,68.8,80.9,68.8
2026-09-10T05:32:02.172812+00:00,68.8,80.9,68.8
2026-09-10T06:38:48.895704+00:00,68.9,80.9,68.8
2026-09-10T07:33:47.464140+00:00,68.9,80.9,68.8
2026-09-10T08:34:49.287197+00:00,68.9,80.9,68.8
2026-09-10T09:33:54.369114+00:00,69.0,80.9,68.8
2026-09-10T10:33:52.618946+00:00,69.1,80.9,68.8
2026-09-10T11:32:58.261505+00:00,69.5,80.9,68.8
2026-09-10T12:39:49.106715+00:00,69.8,80.9,68.8
2026-09-10T13:31:50.142961+00:00,70.1,80.9,68.8
2026-09-10T14:33:34.831640+00:00,69.8,80.9,68.8
2026-09-10T15:33:32.336843+00:00,69.4,80.9,68.8
2026-09-10T16:32:19.788038+00:00,69.8,80.9,68.8
2026-09-10T17:30:35.736920+00:00,69.8,80.9,68.8
2026-09-10T18:34:30.235773+00:00,69.4,88.7,59.1
2026-09-10T19:28:13.372028+00:00,69.5,88.7,59.1
2026-09-10T20:31:23.926421+00:00,69.5,88.7,59.1
2026-09-10T21:30:08.210274+00:00,64.1,75.7,52.1
2026-09-10T22:30:58.392398+00:00,64.2,75.7,52.1
2026-09-10T23:29:29.519078+00:00,64.2,75.7,52.1
2026-09-11T00:38:33.578460+00:00,64.2,75.7,52.1
2026-09-11T01:31:15.581212+00:00,64.2,75.7,52.1
2026-09-11T02:32:54.658219+00:00,64.3,75.7,52.1
2026-09-11T03:33:06.454644+00:00,64.4,75.7,52.1
2026-09-11T04:33:13.457533+00:00,64.3,75.7,52.1
2026-09-11T05:31:40.908412+00:00,64.2,75.7,52.1
2026-09-11T06:38:09.710050+00:00,64.1,75.7,52.1
